gene.symbol	A.1	A.2	A.3	A.4	B.1	B.2	B.3	B.4	C.1	C.2	C.3	C.4	D.1	D.2	D.3	D.4
CYP1A1	6.80668308363636	6.78250258	6.91035918909091	6.89510521363636	8.23077673545454	8.69875734636364	8.75510027818182	9.58191633727273	6.97808555909091	7.05822597727273	7.23778504	7.55505788181818	8.29883019090909	8.02207704636363	8.44974717636363	8.34922307818182
EGF	5.15953061363637	5.0032809	5.22680637909091	4.94387523363636	6.35174859545454	5.80636086636364	6.31046119818182	6.43674707727273	5.13645147909091	5.20692561727273	5.38365196	5.27308866181818	6.32241323090909	6.20609348636363	6.39022352636363	6.49206896818182
CIRBP	-1.13395068636364	-1.13552035	-1.11242914090909	-1.09539418636364	-2.42120916454546	-2.46325603363636	-2.36278113181818	-2.37133792272727	-1.20949459090909	-1.20434999272727	-1.09375796	-1.20703019818182	-1.84259238909091	-1.79521668363637	-1.78891818363637	-1.90166130181818
DAPK3	2.28975811363636	2.26682514	2.62656725909091	2.34055127363636	1.81629688545454	1.84854425636364	1.83882886818182	1.88075167727273	2.13892857909091	2.24982977727273	2.26109317	2.18675909181818	2.31617519090909	2.24738583636363	2.30989700636363	2.23214247818182
DHX15	3.04922031363636	3.01717959	3.23602930909091	3.10511363363636	3.62369701545454	3.49431192636364	3.51646764818182	3.54964994727273	2.89683895909091	2.89983303727273	2.84173425	2.80402012181818	3.66174337090909	3.55403080636363	3.58623606636364	3.48720109818182
EREG	4.74988011363637	4.83250371	4.89263112909091	4.73408126363636	11.2114865054545	10.4399338763636	10.9468073781818	11.2768385372727	5.07398033909091	4.97787530727273	5.16229307	5.08933419181818	6.67104800090909	6.53425094636363	6.40349137636364	6.47289685818182
FAT2	7.75137876363636	7.79994994	7.91467802909091	7.64337648363636	-0.283566924545458	-0.367246543636362	-0.337384731818183	-0.310095532727274	2.33694445909091	2.33118531727273	2.19576329	2.32438876181818	0.553802760909093	0.580410536363633	0.550618856363634	0.563218568181817
CYR61	0.546924803636365	0.533734420000002	0.528367069090908	0.576400643636362	2.96013725545454	2.96590837636364	3.10829716818182	3.13530349727273	0.770870789090907	0.815476487272729	0.792985869999999	0.808842591818181	1.94744496090909	1.95129474636364	1.89594706636364	1.88440631818182
COX7A1	8.37264675363636	8.70598365	8.80752304909091	9.10426901363637	0.652030685454545	0.606719166363639	0.668093328181818	0.683016317272727	3.25163686909091	3.25155714727273	3.22831694	3.26747257181818	1.67080880090909	1.63298437636363	1.59124308636364	1.61857179818182
CPA1	13.4322318336364	12.25739946	16.1840807190909	16.1549904636364	13.8658556054545	14.4670560763636	13.0887014581818	13.2807217872727	13.3769016090909	16.3729729572727	14.65789062	15.6329813418182	14.1382945409091	12.5099495363636	13.8281485163636	15.9461581681818
CPB1	14.7467731236364	16.13644164	14.5035943490909	16.1549904636364	9.93692152545454	9.83562227636364	10.2394824381818	9.92205371727273	12.1543694590909	12.5825575172727	11.9364885	11.8097682518182	11.1047530209091	10.9904788263636	10.6288876563636	10.7709201681818
CTPS	-0.193588046363637	-0.144214039999998	-0.109713160909092	-0.204492376363635	2.34458698545454	2.37155930636364	2.37708411818182	2.35887096727273	0.118641179090908	0.11650850727273	0.156593229999999	0.241582911818181	1.31957721090909	1.40694858636363	1.41372591636364	1.37871674818182
DCT	-3.13228012636364	16.13644164	-3.10973865090909	-3.09545541636364	8.89494605545454	8.34823446636364	8.54829878818182	8.34741292727272	-2.78216021090909	-2.81162843272727	-2.73265392	-2.73936179818182	-1.08481278909091	-1.02434522363637	-0.969195413636363	-1.06268388181818
EYA3	2.73595808363637	2.74086588	2.75120002909091	2.77700630363636	3.43392473545454	3.33970843636364	3.45796474818182	3.54111914727273	2.85515905909091	2.87161545727273	2.99813975	2.89522527181818	3.48124210090909	3.47813251636363	3.43845927636363	3.49227057818182
EXOSC10	1.42285121363636	1.38713343	1.42250833909091	1.38176890363636	1.68872571545455	1.71471446636364	1.81509630818182	1.72421484727273	1.40073164909091	1.42561594727273	1.42165741	1.40924434181818	2.10297161090909	2.06412253636363	1.99726406636363	2.08646266818182
CLCN5	4.00884960363636	3.89250066	3.97398261909091	3.93341987363636	4.77428268545454	4.62609688636364	4.57495977818182	4.59438038727273	4.05748816909091	4.07647008727273	4.09406332	4.04348747181818	4.44964702090909	4.57137042636364	4.53471139636364	4.47503412818182
COL1A1	0.860032793636364	0.806060350000003	0.751314429090908	0.805910953636364	6.17680571545455	5.94867486636364	6.27197027818182	6.01942305727273	1.15362177909091	1.12337867727273	1.04857475	1.09832229181818	2.52865733090909	2.56978060636364	2.55029223636364	2.59923384818182
CYP1B1	2.68978561363636	2.71824684	2.73298542909091	2.81775574363636	2.67133325545455	2.83796303636364	2.71186101818182	2.71137629727273	2.61030381909091	2.62436652727273	2.52127227	2.61313332181818	2.91414473090909	2.92710584636363	2.83948678636364	2.80990793818182
ERCC3	1.01970060363637	1.01708374	0.993019799090906	1.08702121363636	1.18346161545454	1.02618575636364	1.05826121818182	1.10087977727273	1.05601534909091	0.991101917272729	1.10989642	1.01216116181818	1.28075458090909	1.22972248636363	1.24972582636364	1.31833877818182
FAH	2.47860619363637	2.46403992	2.52478894909091	2.54584023363636	4.75183488545454	4.72542126636364	4.87734636818182	4.78995171727273	2.79115437909091	2.72678753727273	2.81082809	2.76268818181818	3.77306424090909	3.85464659636364	3.86299834636364	3.87650367818182
F12	7.40976194363637	7.55428055	7.67549109909091	7.78840464363636	16.1396388254545	16.1231129163636	11.5953849081818	13.7703135572727	7.96157633909091	7.94543214727273	8.00777787	7.76396683181818	9.5446743609091	9.41747237636363	9.50684392636363	9.37997857818182
CYP1A2	11.0253458036364	11.11079339	12.5016133790909	10.3680050836364	16.1396388254545	16.1231129163636	16.1744642681818	16.1682008672727	12.6045704790909	11.3740727072727	12.66429437	10.8100759118182	16.3042081309091	12.6807174863636	12.6312388663636	11.7589209481818
CYP2B6	11.3679131736364	11.75481007	10.3814944790909	12.0545816236364	10.2866479854545	10.6482284263636	10.2947296881818	10.5758507472727	10.4453166990909	10.6923943972727	10.64591461	10.9703879218182	11.0628544309091	11.9766128063636	10.3220699363636	10.5765022881818
CYP2F1	13.3360979136364	16.13644164	16.1840807190909	16.1549904636364	16.1396388254545	16.1231129163636	16.1744642681818	16.1682008672727	16.3742008090909	16.3729729572727	16.41210723	16.3898279018182	16.3042081309091	16.2928856263636	16.3086345963636	16.3003630481818
CYP4A11	12.6354749536364	12.95640043	16.1840807190909	13.0004015736364	8.16509736545455	8.20287512636364	8.20440222818182	8.34589118727273	10.3015661990909	10.3950747872727	9.6944742	10.7095966718182	8.71181136090909	8.59188203636364	8.53900602636363	8.70046632818182
EIF2AK2	0.701201653636364	0.625557990000001	0.626482439090907	0.558607463636363	0.732650345454545	0.836746526363637	0.713251718181819	0.698116557272726	0.785019589090908	0.711246977272729	0.695305000000001	0.659197551818181	0.797728650909093	0.852626886363634	0.838035966363634	0.76726745818182
CTNNB1	-2.05246185636364	-1.9821905	-2.01538712090909	-2.04119759636364	-1.50616278454546	-1.56927992363636	-1.54203674181818	-1.56220646272727	-2.02839228090909	-1.88243214272727	-1.9794998	-2.07433732818182	-1.52214211909091	-1.45404416363636	-1.50048512363637	-1.54121235181818
DSG3	16.1383479436364	16.13644164	16.1840807190909	16.1549904636364	8.83983915545454	8.75688129636364	11.0487398981818	9.50515876727273	10.3836799690909	9.74460823727273	10.78591708	10.3741680018182	10.7238212209091	9.80095928636364	10.5741086263636	11.3233503181818
FGB	1.15902834363636	1.15951641	1.19403133909091	1.14193080363636	11.0717932854545	11.3636350863636	12.3886791081818	11.1050507472727	1.48803542909091	1.43552054727273	1.49817728	1.48272854181818	3.18809345090909	2.87443110636363	2.81681297636364	3.06074945818182
CX3CL1	1.87030574363637	1.68050972	1.88348738909091	1.74144855363636	-0.591577514545456	-0.561669353636361	-0.551451961818181	-0.516340312727273	1.03215223909091	0.987240967272729	1.02091225	1.01529758181818	0.064403970909094	0.0463146563636343	0.0367470363636357	0.0816491581818184
EPO	7.63215576363637	8.00819654	7.87259613909091	8.05971722363636	11.9412641554545	13.8346192863636	12.7172314981818	12.2248441672727	8.45236761909091	8.37692248727273	7.94613867	8.13653926181818	9.58981705090909	9.34180827636364	9.29250211636363	9.83319236818182
ELAVL1	-0.252511636363636	-0.386093729999999	-0.209550860909093	-0.315515186363637	0.747039655454543	0.68514224636364	0.788702178181818	0.799121967272725	-0.100117240909093	-0.177161842727269	0.000442490000001072	-0.139453658181822	0.583800330909092	0.486225666363634	0.579647376363635	0.560251908181819
ERBB4	5.51661604363636	5.56113585	5.48041408909091	5.46512314363636	0.710522685454542	0.725842306363639	0.70916135818182	0.716970677272727	3.06216072909091	2.96402094727273	2.9328744	2.99296348181818	1.47235866090909	1.46964538636363	1.38793363636363	1.43595397818182
POLR2A	-0.0607970863636353	0.0469915800000003	-0.0787358509090907	-0.0579050963636369	-0.555887304545458	-0.419066083636363	-0.404444621818183	-0.382508622727272	-0.140198830909092	-0.0982532027272711	-0.138143549999999	-0.11292163818182	-0.0159960890909083	-0.0488547636363634	-0.0700985236363643	-0.0501103318181819
EZH2	0.364160283636366	0.321776700000001	0.331283559090906	0.343038233636364	5.81508787545454	5.63632136636364	5.75142100818182	5.70236834727273	0.706379379090908	0.658145977272728	0.65070472	0.65695788181818	2.15987831090909	2.22993303636364	2.25857345636364	2.29696676818182
F13A1	9.30155287363636	8.95047967	9.1306019790909	8.52330030363636	2.41161418545454	2.36795050636364	2.35484418818182	2.34322366727273	4.77608843909091	4.57805988727273	4.5994699	4.79068822181818	3.11946638090909	3.07974818636363	3.15107600636363	2.97278710818182
CRH	13.2678305636364	16.13644164	12.7656613390909	16.1549904636364	5.99031758545454	5.96428208636364	5.93512575818182	5.77211863727273	8.39138898909091	8.44285479727273	8.47251224	8.06015456181818	6.57415692090909	6.53092776636364	6.62981321636364	6.75924712818182
CHGB	5.32966205363637	5.52252023	5.38919046909091	5.24709198363636	-1.63289127454546	-1.70467272363636	-1.66373299181818	-1.66477002272727	0.696536069090907	0.707970527272728	0.83172931	0.698348351818179	-0.940366829090909	-0.900463573636365	-0.822507533636365	-0.904864031818182
